"isPrimaryTopicOf","abbreviation","alternativeName","commonName","familyName","givenName","nick","surname","formerName","longName","dboName","originalName","label","foafName","alias"
"http://pt.wikipedia.org/wiki/Glória_(escola_de_samba)","","","","","","","","","","","","Glória (escola de samba)","Escola de Samba da Glória",""
"http://pt.wikipedia.org/wiki/Laugu_Football_Club","","","","","","","","","","","","Laugu Football Club","Laugu Football Club",""
"http://pt.wikipedia.org/wiki/Acadêmicos_do_Jaraguá","","","","","","","","","","","","Acadêmicos do Jaraguá","Acadêmicos do Jaraguá",""
"http://pt.wikipedia.org/wiki/Leon_Ochamchira","","","","","","","","","","","","Leon Ochamchira","Leon Ochamchira",""
"http://pt.wikipedia.org/wiki/Faculdades_Integradas_Rio_Branco","","","","","","FIRB","","","","","","Faculdades Integradas Rio Branco","Faculdades Integradas Rio Branco",""
"http://pt.wikipedia.org/wiki/O_Movimento_(Islândia)","","","","","","","","Hreyfingin","","","","O Movimento (Islândia)","O Movimento",""
"http://pt.wikipedia.org/wiki/Aliança_Ateia_Internacional","AAI","","","","","","","","","","","Aliança Ateia Internacional","Aliança Ateia Internacional",""
"http://pt.wikipedia.org/wiki/Theatre_of_Hate","","","","","","","","","","","","Theatre of Hate","Theatre of Hate",""
"http://pt.wikipedia.org/wiki/Serrano_Futebol_Clube","","","","","","Lampiões da Fiel, Jumento de aço, ""cangaceiro da peste""","","","","","","Serrano Futebol Clube","Serrano;;Serrano Futebol Clube",""
"http://pt.wikipedia.org/wiki/Partido_Social_Democrata_e_Trabalhista","","","","","","","","Páirtí Sóisialta Daonlathach an Lucht Oibre;;Social Democratic and Labour Party","","","","Partido Social Democrata e Trabalhista","Partido Social Democrata e Trabalhista",""
"http://pt.wikipedia.org/wiki/Association_Sportive_Vita_Club","","","","","","","","","","","","Association Sportive Vita Club","AS Vita Club",""
"http://pt.wikipedia.org/wiki/Hauptverein_Dresdner_Sport-Club_1898_e.V.","","","","","","","","","","","","Hauptverein Dresdner Sport-Club 1898 e.V.","Dresdner SC",""
"http://pt.wikipedia.org/wiki/Happy_Goodman_Family","","","","","","","","","","","","Happy Goodman Family","Happy Goodman Family",""
"http://pt.wikipedia.org/wiki/TV_Jornal_Recife","","","","","","","","","","","","TV Jornal Recife","TV Jornal",""
"http://pt.wikipedia.org/wiki/The_Divine_Comedy_(banda)","","","","","","","","","","","","The Divine Comedy (banda)","The Divine Comedy",""
"http://pt.wikipedia.org/wiki/CERH","","","","","","","","","","","","CERH","Comité Europeu de Hóquei em Patins",""
"http://pt.wikipedia.org/wiki/Damas_Gratis","","","","","","","","","","","","Damas Gratis","Damas Gratis",""
"http://pt.wikipedia.org/wiki/Rádio_Atlântida_FM_(Chapecó)","","","","","","","","","","","","Rádio Atlântida FM (Chapecó)","Atlântida Chapecó;;RBS-EMP Catarinense de Comunicações Ltda.",""
"http://pt.wikipedia.org/wiki/Futebol_Clube_de_Penafiel","","","","","","''Rubro-Negros; Durienses","","","","","","Futebol Clube de Penafiel","Futebol Clube Penafiel;;Penafiel",""
"http://pt.wikipedia.org/wiki/Brasiliense_(editora)","","","","","","","","","","","","Brasiliense (editora)","Editora Brasiliense",""
"http://pt.wikipedia.org/wiki/HBS_Craeyenhout","","","","","","","","","","","","HBS Craeyenhout","HBS Craeyenhout",""
"http://pt.wikipedia.org/wiki/Marlon_&_Maicon","","","","","","","","","","","","Marlon & Maicon","Marlon e Maicon",""
"http://pt.wikipedia.org/wiki/Universidade_Metropolitana_de_Santos","","","","","","UNIMES","","","","","","Universidade Metropolitana de Santos","Universidade Metropolitana de Santos",""
"http://pt.wikipedia.org/wiki/Dick_Smith_Electronics","","","","","","","","","","","","Dick Smith Electronics","Dick Smith Electronics",""
"http://pt.wikipedia.org/wiki/Yarus_Football_Club","","","","","","","","","","","","Yarus Football Club","Yarus Football Club",""
"http://pt.wikipedia.org/wiki/Bebo","","","","","","","","","","","","Bebo","Bebo Inc.",""
"http://pt.wikipedia.org/wiki/Luzper_Esporte_Clube","","","","","","","","","","","","Luzper Esporte Clube","Luzper",""
"http://pt.wikipedia.org/wiki/Twinklestars","","","","","","Clube do Bastão Twinklestars","","","","","","Twinklestars","Twinklestars",""
"http://pt.wikipedia.org/wiki/Puebla_Fútbol_Club","","","","","","Camoteros, La Franja","","","","","","Puebla Fútbol Club","Puebla;;Puebla Fútbol Club",""
"http://pt.wikipedia.org/wiki/ATV_(Turquia)","","","","","","","","","","","","ATV (Turquia)","ATV",""
"http://pt.wikipedia.org/wiki/Juventud_Benqueña","","","","","","","","","","","","Juventud Benqueña","Juventud Benqueña",""
"http://pt.wikipedia.org/wiki/Platypus","","","","","","","","","","","","Platypus","Platypus",""
"http://pt.wikipedia.org/wiki/Sonae_MC","","","","","","","","","","","","Sonae MC","Sonae MC",""
"http://pt.wikipedia.org/wiki/351ª_Divisão_de_Infantaria_(Alemanha)","","","","","","351. ID","","","","","","351ª Divisão de Infantaria (Alemanha)","351. Infanterie-Division",""
"http://pt.wikipedia.org/wiki/Nacional_Futebol_Clube_(Amazonas)","","","","","","Clube da Estrela Azul;;Leão da Vila Municipal;;Leão do Amazonas;;N.F.C.;;Naça;;O Maior do Amazonas;;Rei do Amazonas","","","","","","Nacional Futebol Clube (Amazonas)","Nacional",""
"http://pt.wikipedia.org/wiki/Società_Sportiva_Dilettantistica_Monza_1912","","","","","","Brianzoli","","","","","","Società Sportiva Dilettantistica Monza 1912","S.S.D. Monza 1912",""
"http://pt.wikipedia.org/wiki/Interdata","","","","","","","","","","","","Interdata","Interdata, Inc.",""
"http://pt.wikipedia.org/wiki/Rádio_Bandeirantes_Porto_Alegre","","","","","","","","Ipanema FM;;Rádio Difusora Porto-Alegrense","","","","Rádio Bandeirantes Porto Alegre","Rádio Bandeirantes Porto Alegre;;Rádio e TV Portovisão Ltda.",""
"http://pt.wikipedia.org/wiki/Indeep","","","","","Indeep","","","","","","","Indeep","Indeep",""
"http://pt.wikipedia.org/wiki/Águilas_Verdes_de_Guadalupe","","","","","","","","","","","","Águilas Verdes de Guadalupe","Águilas Verdes de Guadalupe",""
