"birthName","pseudonym","isPrimaryTopicOf","abbreviation","alternativeName","commonName","familyName","givenName","nick","surname","formerName","longName","dboName","originalName","label","foafName","alias"
"","","http://pt.wikipedia.org/wiki/Luigi_Glombard","","","","","","","","","","","","Luigi Glombard","Luigi Glombard",""
"","","http://pt.wikipedia.org/wiki/Costas_Soukoulis","","","","","","","","","","","","Costas Soukoulis","Costas Soukoulis",""
"","","http://pt.wikipedia.org/wiki/Bernhard_Lichtenberg","","","","","","","","","","","","Bernhard Lichtenberg","Beato Bernhard Lichtenberg",""
"","","http://pt.wikipedia.org/wiki/Herb_Gardiner","","","","","","","","","","","","Herb Gardiner","Herb Gardiner",""
"","","http://pt.wikipedia.org/wiki/Gil_Eanes","","","","","","","","","","","","Gil Eanes","Gil Eanes;;Gil Eannes",""
"","","http://pt.wikipedia.org/wiki/Joseph-Antoine_Bell","","","","","","JoJo, Gato","","","","","","Joseph-Antoine Bell","Joseph-Antoine Bell",""
"","","http://pt.wikipedia.org/wiki/Momir_Bulatović","","","","","","","","","","","","Momir Bulatović","Momir Bulatović;;Момир Булатовић",""
"","","http://pt.wikipedia.org/wiki/Julia_Soldatova","","","","","","","","","","","","Julia Soldatova","Julia Nikolayevna Soldatova;;Julia Soldatova",""
"","","http://pt.wikipedia.org/wiki/Bill_(futebolista)","","","","","","Bill;;Billy the Kid;;Fio Maravilha Goiano","","","","","","Bill (futebolista)","Bill;;Oswaldo Faria",""
"","","http://pt.wikipedia.org/wiki/Marcos_A._Aidukaitis","","","","","","","","","","","","Marcos A. Aidukaitis","Marcos A. Aidukaitis;;Marcos Antony Aidukaitis",""
"","","http://pt.wikipedia.org/wiki/Edward_Smith","","","","","","","","","","","","Edward Smith","Edward John Smith;;Edward Smith",""
"","","http://pt.wikipedia.org/wiki/Focas","","","","","","","","","","","","Focas","Flavius Phocas Augustus;;Focas",""
"","","http://pt.wikipedia.org/wiki/Valentin_Bondarenko","","","","","","","","","","","","Valentin Bondarenko","Valentin Bondarenko",""
"","","http://pt.wikipedia.org/wiki/São_Bavão","","","","","","","","","","","","São Bavão","São Bavão",""
"","","http://pt.wikipedia.org/wiki/Henri_Mveh","","","","","","","","","","","","Henri Mveh","Henri Mveh",""
"","","http://pt.wikipedia.org/wiki/Érick_Lazo","","","","","","","","","","","","Érick Lazo","Érick Javier Lazo;;Érick Lazo",""
"","","http://pt.wikipedia.org/wiki/Michel_Scob","","","","","","","","","","","","Michel Scob","Michel Scob",""
"","","http://pt.wikipedia.org/wiki/Paul_Drake","","","","","","","","","","","","Paul Drake","Paul Drake",""
"","","http://pt.wikipedia.org/wiki/Patrice_Estanguet","","","","","","","","","","","","Patrice Estanguet","Patrice Estanguet",""
"","","http://pt.wikipedia.org/wiki/Arusiano_Méssio","","","","","","","","","","","","Arusiano Méssio","Arusiano Méssio",""
"","","http://pt.wikipedia.org/wiki/Steven_Caldwell","","","","","","","","","","","","Steven Caldwell","Steven Caldwell",""
