"historicalName","isPrimaryTopicOf","abbreviation","alternativeName","commonName","familyName","givenName","nick","surname","formerName","longName","dboName","originalName","label","foafName","alias"
"","http://pt.wikipedia.org/wiki/Monteprandone","","","","","","","","","","","","Monteprandone","Monteprandone",""
"","http://pt.wikipedia.org/wiki/Fort_Washington_(Maryland)","","","","","","","","","","","","Fort Washington (Maryland)","Fort Washington",""
"","http://pt.wikipedia.org/wiki/La_Chapelle-d'Aurec","","","","","","","","","","","","La Chapelle-d'Aurec","La Chapelle-d'Aurec",""
"","http://pt.wikipedia.org/wiki/Borstorf","","","","","","","","","","","","Borstorf","Borstorf",""
"","http://pt.wikipedia.org/wiki/Carnac-Rouffiac","","","","","","","","","","","","Carnac-Rouffiac","Carnac-Rouffiac",""
"","http://pt.wikipedia.org/wiki/Motteville","","","","","","","","","","","","Motteville","Motteville",""
"","http://pt.wikipedia.org/wiki/Iota_Tucanae","","","","","","","","","","","","Iota Tucanae","ι Tucanae","76 Tucanae (Designação de Flamsteed), HD 6793, HIP 5268"
"","http://pt.wikipedia.org/wiki/19497_Pineda","","","","","","","","","","","","19497 Pineda","Pineda",""
"","http://pt.wikipedia.org/wiki/36880_2000_SP154","","","","","","","","","","","","36880 2000 SP154","2000 SP154",""
"","http://pt.wikipedia.org/wiki/NGC_4890","","","","","","","","","","","","NGC 4890","4890, MCG -1-33-67, IRAS12580-0420, PGC 44793;;NGC 4890",""
"","http://pt.wikipedia.org/wiki/Augustenborg","","","","","","","","","","","","Augustenborg","Augustenborg",""
"","http://pt.wikipedia.org/wiki/5425_Vojtech","","","","","","","","","","","","5425 Vojtech","Vojtech",""
"","http://pt.wikipedia.org/wiki/Othakalmandapam","","","","","","","","","","","","Othakalmandapam","Othakalmandapam",""
"","http://pt.wikipedia.org/wiki/Alabaster_(Alabama)","","","","","","","","","","","","Alabaster (Alabama)","Alabaster",""
"","http://pt.wikipedia.org/wiki/Veiga_de_Lila","","","","","","","","","","","","Veiga de Lila","Veiga de Lila",""
"","http://pt.wikipedia.org/wiki/2003_LF7","","","","","","","","","","","","2003 LF7","2003 LF7",""
"","http://pt.wikipedia.org/wiki/(21061)_1991_JD","","","","","","","","","","","","(21061) 1991 JD","1991 JD",""
"","http://pt.wikipedia.org/wiki/Brünn_(Turíngia)","","","","","","","","","","","","Brünn (Turíngia)","Brünn",""
"","http://pt.wikipedia.org/wiki/Hidra_(ilha)","","","","","","","","","","","","Hidra (ilha)","Hidra (Ύδρα)",""
"","http://pt.wikipedia.org/wiki/2834_Christy_Carol","","","","","","","","","","","","2834 Christy Carol","Christy Carol",""
"","http://pt.wikipedia.org/wiki/São_Francisco_(Sergipe)","","","","","","","","","","","","São Francisco (Sergipe)","São Francisco",""
"","http://pt.wikipedia.org/wiki/Lochwiller","","","","","","","","","","","","Lochwiller","Lochwiller",""
"","http://pt.wikipedia.org/wiki/Rio_Trishuli","","","","","","","","","","","","Rio Trishuli","Rio Trishuli",""
"","http://pt.wikipedia.org/wiki/Temple_(Geórgia)","","","","","","","","","","","","Temple (Geórgia)","Temple",""
"","http://pt.wikipedia.org/wiki/Virieu-le-Grand","","","","","","","","","","","","Virieu-le-Grand","Virieu-le-Grand",""
"","http://pt.wikipedia.org/wiki/(73278)_2002_JU58","","","","","","","","","","","","(73278) 2002 JU58","2002 JU58",""
"","http://pt.wikipedia.org/wiki/Córrego_Melo_Viana","","","","","","","","","","","","Córrego Melo Viana","Córrego Melo Viana",""
"","http://pt.wikipedia.org/wiki/Vilgertshofen","","","","","","","","","","","","Vilgertshofen","Vilgertshofen",""
"","http://pt.wikipedia.org/wiki/Campos_e_Vila_Meã","","","","","","","","","","","","Campos e Vila Meã","Campos e Vila Meã",""
"","http://pt.wikipedia.org/wiki/30488_2000_QJ11","","","","","","","","","","","","30488 2000 QJ11","2000 QJ11",""
"","http://pt.wikipedia.org/wiki/Willow_River","","","","","","","","","","","","Willow River","Willow River",""
"","http://pt.wikipedia.org/wiki/Rio_Hârboca","","","","","","","","","","","","Rio Hârboca","Rio Hârboca",""
"","http://pt.wikipedia.org/wiki/Durango_(Espanha)","","","","","","","","","","","","Durango (Espanha)","Durango",""
"","http://pt.wikipedia.org/wiki/35341_1997_GT22","","","","","","","","","","","","35341 1997 GT22","1997 GT22",""
"","http://pt.wikipedia.org/wiki/Fonches-Fonchette","","","","","","","","","","","","Fonches-Fonchette","Fonches-Fonchette",""
"","http://pt.wikipedia.org/wiki/Aeroporto_de_Nova_Prata","","","","","","","","","","","","Aeroporto de Nova Prata","Aeródromo Municipal Ilmo Aloísio Blube",""
"","http://pt.wikipedia.org/wiki/Museu_de_São_Roque","","","","","","","","","","","","Museu de São Roque","Museu de São Roque",""
"","http://pt.wikipedia.org/wiki/34611_Nacogdoches","","","","","","","","","","","","34611 Nacogdoches","Nacogdoches",""
"","http://pt.wikipedia.org/wiki/2259_Sofievka","","","","","","","","","","","","2259 Sofievka","Sofievka",""
"","http://pt.wikipedia.org/wiki/Ingram_(Pensilvânia)","","","","","","","","","","","","Ingram (Pensilvânia)","Ingram",""
"","http://pt.wikipedia.org/wiki/Rio_Dranse_(Alta_Saboia)","","","","","","","","","","","","Rio Dranse (Alta Saboia)","Dranse",""
"","http://pt.wikipedia.org/wiki/Cedar_Falls","","","","","","","","","","","","Cedar Falls","Cedar Falls",""
"","http://pt.wikipedia.org/wiki/Blannay","","","","","","","","","","","","Blannay","Blannay",""
"","http://pt.wikipedia.org/wiki/NGC_317A","","","","","","","","","","","","NGC 317A","NGC 317A",""
"","http://pt.wikipedia.org/wiki/Mariehamn","","","","","","","","","","","","Mariehamn","Maarianhamina;;Mariehamn",""
"","http://pt.wikipedia.org/wiki/West_Manchester","","","","","","","","","","","","West Manchester","West Manchester",""
"","http://pt.wikipedia.org/wiki/Jardim_Verônia","","","","","","","","","","","","Jardim Verônia","Jardim Verônia",""
"","http://pt.wikipedia.org/wiki/Oborniki_Śląskie","","","","","","","","","","","","Oborniki Śląskie","Oborniki Śląskie",""
"","http://pt.wikipedia.org/wiki/Villamiel_de_la_Sierra","","","","","","","","","","","","Villamiel de la Sierra","Villamiel de la Sierra",""
"","http://pt.wikipedia.org/wiki/Bom_Retiro_(Santos)","","","","","","","","","","","","Bom Retiro (Santos)","Bom Retiro (Santos)",""
"","http://pt.wikipedia.org/wiki/Woodbury_(Minnesota)","","","","","","","","","","","","Woodbury (Minnesota)","Woodbury",""
"","http://pt.wikipedia.org/wiki/Cassandra_(Pensilvânia)","","","","","","","","","","","","Cassandra (Pensilvânia)","Cassandra",""
"","http://pt.wikipedia.org/wiki/12365_Yoshitoki","","","","","","","","","","","","12365 Yoshitoki","Yoshitoki",""
"","http://pt.wikipedia.org/wiki/47_Velorum","","","","","","","","","","","","47 Velorum","47 VelorumE Velorum","HD 73340, HIP 42177"
"","http://pt.wikipedia.org/wiki/Grenada_(Mississippi)","","","","","","","","","","","","Grenada (Mississippi)","Grenada",""
"","http://pt.wikipedia.org/wiki/Lieusaint_(Seine-et-Marne)","","","","","","","","","","","","Lieusaint (Seine-et-Marne)","Lieusaint",""
"","http://pt.wikipedia.org/wiki/Villoruebo","","","","","","","","","","","","Villoruebo","Villoruebo",""
"","http://pt.wikipedia.org/wiki/23221_Delgado","","","","","","","","","","","","23221 Delgado","2000 VX35",""
"","http://pt.wikipedia.org/wiki/Châtillon_(Ródano)","","","","","","","","","","","","Châtillon (Ródano)","Châtillon",""
"","http://pt.wikipedia.org/wiki/Condado_de_Fulton_(Indiana)","","","","","","","","","","","","Condado de Fulton (Indiana)","Fulton",""
"","http://pt.wikipedia.org/wiki/21554_Leechaohsi","","","","","","","","","","","","21554 Leechaohsi","Leechaohsi",""
"","http://pt.wikipedia.org/wiki/Saint-André-sur-Vieux-Jonc","","","","","","","","","","","","Saint-André-sur-Vieux-Jonc","Saint-André-sur-Vieux-Jonc",""
"","http://pt.wikipedia.org/wiki/Condado_de_Essex_(Vermont)","","","","","","","","","","","","Condado de Essex (Vermont)","Essex",""
"","http://pt.wikipedia.org/wiki/Crafton","","","","","","","","","","","","Crafton","Crafton",""
"","http://pt.wikipedia.org/wiki/Nazaré_(freguesia)","","","","","","","","","","","","Nazaré (freguesia)","Nazaré",""
"","http://pt.wikipedia.org/wiki/Oberhain","","","","","","","","","","","","Oberhain","Oberhain",""
"","http://pt.wikipedia.org/wiki/Aeroporto_de_Niquelândia","","","","","","","","","","","","Aeroporto de Niquelândia","Aeroporto de Niquelândia",""
"","http://pt.wikipedia.org/wiki/Rabal","","","","","","","","","","","","Rabal","Rabal",""
"","http://pt.wikipedia.org/wiki/71001_Natspasoc","","","","","","","","","","","","71001 Natspasoc","Natspasoc",""
"","http://pt.wikipedia.org/wiki/Crestone","","","","","","","","","","","","Crestone","Crestone",""
"","http://pt.wikipedia.org/wiki/Arquipélago_de_São_Pedro_e_São_Paulo","","","","","","","","","","","","Arquipélago de São Pedro e São Paulo","Arquipélago de São Pedro e São Paulo",""
"","http://pt.wikipedia.org/wiki/(20996)_1986_PB","","","","","","","","","","","","(20996) 1986 PB","1986 PB",""
"","http://pt.wikipedia.org/wiki/35764_1999_HP7","","","","","","","","","","","","35764 1999 HP7","1999 HP7",""
"","http://pt.wikipedia.org/wiki/Aujargues","","","","","","","","","","","","Aujargues","Aujargues",""
